Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,47,0.002993631
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,24,0.001528662
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,12,0.000764331
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,3,0.000191083
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,48,0.003057325
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,6,0.000382166
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,8,0.000509554
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,36,0.002292994
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,26,0.001656051
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,7,0.00044586
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,3,0.000191083
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,31,0.001974522
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,2,0.000127389
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,5,0.000318471
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,19,0.001210191
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,41,0.002611465
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,7,0.00044586
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,3,0.000191083
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,6,0.000382166
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,59,0.003757962
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,10,0.000636943
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,8,0.000509554
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,28,0.001783439
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,46,0.002929936
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,11,0.000700637
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,5,0.000318471
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,53,0.003375796
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,9,0.000573248
